dname,split,feature,clf,fscore,accuracy
LABR,Split_Balanced_3C,count_lex-domain,KNN,0.44620060790273558,0.44620060790273558
LABR,Split_Balanced_3C,count_lex-domain,BernoulliNB,0.62938196555217829,0.62938196555217829
LABR,Split_Balanced_3C,count_lex-domain,svm,0.62978723404255321,0.62978723404255321
LABR,Split_Balanced_3C,count_lex-domain,svm_dual,0.63768996960486324,0.63768996960486324
LABR,Split_Balanced_3C,count_lex-domain,LREG,0.64174265450861201,0.64174265450861201
LABR,Split_Balanced_3C,count_lex-domain,SGD,0.60486322188449848,0.60486322188449848
LABR,Split_Balanced_3C,count_lex-all,KNN,0.45430597771023301,0.45430597771023301
LABR,Split_Balanced_3C,count_lex-all,BernoulliNB,0.62938196555217829,0.62938196555217829
LABR,Split_Balanced_3C,count_lex-all,svm,0.63242147922998981,0.63242147922998981
LABR,Split_Balanced_3C,count_lex-all,svm_dual,0.63748733535967583,0.63748733535967583
LABR,Split_Balanced_3C,count_lex-all,LREG,0.64174265450861201,0.64174265450861201
LABR,Split_Balanced_3C,count_lex-all,SGD,0.60182370820668696,0.60182370820668696
LABR,Split_Balanced_3C,lex-domain,KNN,0.46160081053698077,0.46160081053698077
LABR,Split_Balanced_3C,lex-domain,BernoulliNB,0.4998986828774063,0.4998986828774063
LABR,Split_Balanced_3C,lex-domain,svm,0.52522796352583589,0.52522796352583589
LABR,Split_Balanced_3C,lex-domain,svm_dual,0.52462006079027357,0.52462006079027357
LABR,Split_Balanced_3C,lex-domain,LREG,0.52867274569402234,0.52867274569402234
LABR,Split_Balanced_3C,lex-domain,SGD,0.50476190476190474,0.50476190476190474
LABR,Split_Balanced_3C,tfidf_lex-domain,KNN,0.48125633232016207,0.48125633232016213
LABR,Split_Balanced_3C,tfidf_lex-domain,BernoulliNB,0.62938196555217829,0.62938196555217829
LABR,Split_Balanced_3C,tfidf_lex-domain,svm,0.59473150962512666,0.59473150962512666
LABR,Split_Balanced_3C,tfidf_lex-domain,svm_dual,0.61094224924012153,0.61094224924012153
LABR,Split_Balanced_3C,tfidf_lex-domain,LREG,0.5497467071935157,0.5497467071935157
LABR,Split_Balanced_3C,tfidf_lex-domain,SGD,0.53049645390070921,0.53049645390070921
LABR,Split_Balanced_3C,lex-all,KNN,0.47193515704154004,0.47193515704154004
LABR,Split_Balanced_3C,lex-all,BernoulliNB,0.50901722391084092,0.50901722391084092
LABR,Split_Balanced_3C,lex-all,svm,0.54690982776089159,0.54690982776089159
LABR,Split_Balanced_3C,lex-all,svm_dual,0.55562310030395134,0.55562310030395134
LABR,Split_Balanced_3C,lex-all,LREG,0.5446808510638298,0.5446808510638298
LABR,Split_Balanced_3C,lex-all,SGD,0.52563323201621071,0.52563323201621071
LABR,Split_Balanced_3C,tfidf_lex-all,KNN,0.4684903748733536,0.4684903748733536
LABR,Split_Balanced_3C,tfidf_lex-all,BernoulliNB,0.62938196555217829,0.62938196555217829
